"canal","county","stateid","name","fips"
1454,1356,23,"Luce",26095
1511,243,5,"Sacramento",6067
1511,260,5,"Sutter",6101
1528,257,5,"Solano",6095
1528,266,5,"Yolo",6113
1557,558,13,"Bonneville",16019
1557,574,13,"Jefferson",16051
1565,2714,44,"Kinney",48271
1565,2737,44,"Maverick",48323
1592,216,5,"Contra Costa",6013
1592,243,5,"Sacramento",6067
1627,219,5,"Fresno",6019
1627,233,5,"Merced",6047
1639,2362,39,"Lehigh",42077
1639,2371,39,"Northampton",42095
1658,2614,44,"Chambers",48071
1658,2724,44,"Liberty",48291
1662,348,10,"Brevard",12009
1662,407,10,"Volusia",12127
1716,2807,45,"Box Elder",49003
1716,2834,45,"Weber",49057
1717,2811,45,"Davis",49011
1717,2823,45,"Salt Lake",49035
1718,1213,21,"Washington",24043
1718,1341,49,"Jefferson",54037
1720,2906,47,"Henrico",51087
1720,2952,47,"Richmond",51159
1723,219,5,"Fresno",6019
1723,233,5,"Merced",6047
1725,145,4,"Clay",5021
1725,162,4,"Greene",5055
1725,1596,26,"Dunklin",29069
1726,150,4,"Craighead",5031
1726,181,4,"Mississippi",5093
1726,190,4,"Poinsett",5111
1726,1596,26,"Dunklin",29069
1728,152,4,"Crittenden",5035
1728,153,4,"Cross",5037
1728,181,4,"Mississippi",5093
1728,190,4,"Poinsett",5111
1735,1628,26,"Mississippi",29133
1735,1633,26,"New Madrid",29143
1802,1839,29,"Storey",32029
1802,1840,29,"Washoe",32031
1806,2531,43,"Lake",47095
1806,2549,43,"Obion",47131
1807,158,4,"Franklin",5047
1807,176,4,"Logan",5083
1840,1873,32,"Bernalillo",35001
1840,1898,32,"Sandoval",35043
1841,1893,32,"Quay",35037
1841,1897,32,"San Miguel",35047
1901,391,10,"Orange",12095
1901,392,10,"Osceola",12097
1914,257,5,"Solano",6095
1914,266,5,"Yolo",6113
1934,351,10,"Charlotte",12015
1934,401,10,"Sarasota",12115
1936,2362,39,"Lehigh",42077
1936,2371,39,"Northampton",42095
1949,233,5,"Merced",6047
1949,259,5,"Stanislaus",6099
1960,377,10,"Lake",12069
1960,391,10,"Orange",12095
2009,351,10,"Charlotte",12015
2009,401,10,"Sarasota",12115
2011,351,10,"Charlotte",12015
2011,401,10,"Sarasota",12115
2046,224,5,"Kern",6029
2046,263,5,"Tulare",6107
2048,346,10,"Bay",12005
2048,409,10,"Walton",12131
2076,1486,25,"Calhoun",28013
2076,1488,25,"Chickasaw",28017
2097,306,6,"Logan",8075
2097,329,6,"Washington",8121
2144,219,5,"Fresno",6019
2144,225,5,"Kings",6031
2154,216,5,"Contra Costa",6013
2154,248,5,"San Joaquin",6077
2156,224,5,"Kern",6029
2156,263,5,"Tulare",6107
2197,1920,33,"Erie",36029
2197,1938,33,"Niagara",36063
2216,306,6,"Logan",8075
2216,312,6,"Morgan",8087
2216,329,6,"Washington",8121
2252,1854,31,"Burlington",34005
2252,1862,31,"Mercer",34021
2257,624,14,"Grundy",17063
2257,692,14,"Will",17197
2267,2598,44,"Brazoria",48039
2267,2662,44,"Galveston",48167
2274,126,3,"La Paz",4012
2274,242,5,"Riverside",6065
2280,638,14,"Kankakee",17091
2280,741,15,"Lake",18089
2282,638,14,"Kankakee",17091
2282,741,15,"Lake",18089
2282,752,15,"Newton",18111
2284,598,14,"Bureau",17011
2284,691,14,"Whiteside",17195
2319,215,5,"Colusa",6011
2319,266,5,"Yolo",6113
2347,1481,25,"Alcorn",28003
2347,2543,43,"McNairy",47109
2351,2807,45,"Box Elder",49003
2351,2834,45,"Weber",49057
2405,674,14,"Rock Island",17161
2405,691,14,"Whiteside",17195
2431,674,14,"Rock Island",17161
2431,691,14,"Whiteside",17195
2442,2583,44,"Archer",48009
2442,2794,44,"Wichita",48485
2448,213,5,"Butte",6007
2448,260,5,"Sutter",6101
2455,2355,39,"Indiana",42063
2455,2388,39,"Westmoreland",42129
2487,2405,41,"Charleston",45019
2487,2417,41,"Georgetown",45043
2495,1810,28,"Scotts Bluff",31157
2495,1814,28,"Sioux",31165
2536,219,5,"Fresno",6019
2536,233,5,"Merced",6047
2565,213,5,"Butte",6007
2565,260,5,"Sutter",6101
2602,2507,43,"Fayette",47047
2602,2562,43,"Shelby",47157
2645,1880,32,"Dona Ana",35013
2645,2648,44,"El Paso",48141
2701,210,5,"Alameda",6001
2701,216,5,"Contra Costa",6013
2742,2170,36,"Lucas",39095
2742,2184,36,"Ottawa",39123
2743,2170,36,"Lucas",39095
2743,2184,36,"Ottawa",39123
2773,2979,48,"Adams",53001
2773,2989,48,"Franklin",53021
2775,599,14,"Calhoun",17013
2775,668,14,"Pike",17149
2788,625,14,"Hamilton",17065
2788,690,14,"White",17193
2838,385,10,"Martin",12085
2838,393,10,"Palm Beach",12099
2849,1782,28,"Keith",31101
2849,1787,28,"Lincoln",31111
2860,385,10,"Martin",12085
2860,393,10,"Palm Beach",12099
2894,385,10,"Martin",12085
2894,393,10,"Palm Beach",12099
2936,2198,36,"Stark",39151
2936,2199,36,"Summit",39153
2943,385,10,"Martin",12085
2943,399,10,"Saint Lucie",12111
2953,2979,48,"Adams",53001
2953,2991,48,"Grant",53025
2965,3075,50,"Jackson",55053
2965,3122,50,"Wood",55141
2969,762,15,"Pulaski",18131
2969,787,15,"White",18181
2986,1813,28,"Sherman",31163
2986,1819,28,"Valley",31175
3005,352,10,"Citrus",12017
3005,380,10,"Levy",12075
3006,352,10,"Citrus",12017
3006,384,10,"Marion",12083
3013,352,10,"Citrus",12017
3013,384,10,"Marion",12083
3043,1861,31,"Hunterdon",34019
3043,1862,31,"Mercer",34021
3043,2332,39,"Bucks",42017
3061,653,14,"Mason",17125
3061,678,14,"Schuyler",17169
3063,1794,28,"Nance",31125
3063,1802,28,"Platte",31141
3066,1872,31,"Warren",34041
3066,2371,39,"Northampton",42095
3068,369,10,"Hernando",12053
3068,403,10,"Sumter",12119
3092,2405,41,"Charleston",45019
3092,2410,41,"Colleton",45029
3098,621,14,"Fulton",17057
3098,653,14,"Mason",17125
3111,1770,28,"Greeley",31077
3111,1819,28,"Valley",31175
3123,150,4,"Craighead",5031
3123,153,4,"Cross",5037
3123,190,4,"Poinsett",5111
3143,665,14,"Peoria",17143
3143,683,14,"Tazewell",17179
3158,3077,50,"Juneau",55057
3158,3122,50,"Wood",55141
3183,2979,48,"Adams",53001
3183,2989,48,"Franklin",53021
3183,2991,48,"Grant",53025
3204,219,5,"Fresno",6019
3204,225,5,"Kings",6031
3207,224,5,"Kern",6029
3207,225,5,"Kings",6031
3213,549,13,"Ada",16001
3213,562,13,"Canyon",16027
3222,742,15,"LaPorte",18091
3222,767,15,"Saint Joseph",18141
3227,1526,25,"Marshall",28093
3227,1552,25,"Union",28145
3260,216,5,"Contra Costa",6013
3260,248,5,"San Joaquin",6077
3278,364,10,"Glades",12043
3278,368,10,"Hendry",12051
3289,351,10,"Charlotte",12015
3289,401,10,"Sarasota",12115
3293,2598,44,"Brazoria",48039
3293,2657,44,"Fort Bend",48157
3352,1752,28,"Custer",31041
3352,1819,28,"Valley",31175
3391,741,15,"Lake",18089
3391,760,15,"Porter",18127
3410,225,5,"Kings",6031
3410,263,5,"Tulare",6107
3439,225,5,"Kings",6031
3439,263,5,"Tulare",6107
3461,1810,28,"Scotts Bluff",31157
3461,3130,51,"Goshen",56015
3477,233,5,"Merced",6047
3477,259,5,"Stanislaus",6099
3480,215,5,"Colusa",6011
3480,266,5,"Yolo",6113
3492,1505,25,"Holmes",28051
3492,1506,25,"Humphreys",28053
3503,665,14,"Peoria",17143
3503,683,14,"Tazewell",17179
3543,1700,27,"Lewis and Clark",30049
3543,1725,27,"Teton",30099
3544,1682,27,"Cascade",30013
3544,1725,27,"Teton",30099
3562,558,13,"Bonneville",16019
3562,574,13,"Jefferson",16051
3582,2662,44,"Galveston",48167
3582,2679,44,"Harris",48201
3588,357,10,"Dixie",12029
3588,363,10,"Gilchrist",12041
3590,352,10,"Citrus",12017
3590,384,10,"Marion",12083
3599,2598,44,"Brazoria",48039
3599,2662,44,"Galveston",48167
3627,352,10,"Citrus",12017
3627,384,10,"Marion",12083
3629,352,10,"Citrus",12017
3629,403,10,"Sumter",12119
3630,352,10,"Citrus",12017
3630,403,10,"Sumter",12119
3638,352,10,"Citrus",12017
3638,384,10,"Marion",12083
3642,598,14,"Bureau",17011
3642,691,14,"Whiteside",17195
3646,216,5,"Contra Costa",6013
3646,248,5,"San Joaquin",6077
3655,2076,35,"Burleigh",38015
3655,2110,35,"Sheridan",38083
3693,28,1,"Baldwin",1003
3693,75,1,"Mobile",1097
3698,2607,44,"Calhoun",48057
3698,2786,44,"Victoria",48469
3712,446,11,"Columbia",13073
3712,505,11,"Richmond",13245
3712,2397,41,"Aiken",45003
3712,2414,41,"Edgefield",45037
3763,2123,36,"Allen",39003
3763,2127,36,"Auglaize",39011
3775,2219,37,"Canadian",40017
3775,2236,37,"Grady",40051
3808,2170,36,"Lucas",39095
3808,2184,36,"Ottawa",39123
3817,2503,43,"Decatur",47039
3817,2519,43,"Hardin",47071
3823,817,16,"Des Moines",19057
3823,846,16,"Louisa",19115
3834,134,3,"Yuma",4027
3834,222,5,"Imperial",6025
3845,385,10,"Martin",12085
3845,393,10,"Palm Beach",12099
3852,351,10,"Charlotte",12015
3852,401,10,"Sarasota",12115
3863,248,5,"San Joaquin",6077
3863,259,5,"Stanislaus",6099
3883,385,10,"Martin",12085
3883,393,10,"Palm Beach",12099
3928,344,10,"Alachua",12001
3928,347,10,"Bradford",12007
3934,349,10,"Broward",12011
3934,386,10,"Miami-Dade",12086
3938,1975,34,"Beaufort",37013
3938,2062,34,"Washington",37187
3941,1977,34,"Bladen",37017
3941,2039,34,"Pender",37141
3973,248,5,"San Joaquin",6077
3973,259,5,"Stanislaus",6099
3978,233,5,"Merced",6047
3978,259,5,"Stanislaus",6099
3982,224,5,"Kern",6029
3982,228,5,"Los Angeles",6037
4032,742,15,"LaPorte",18091
4032,771,15,"Starke",18149
4075,1157,19,"Saint Charles",22089
4075,1160,19,"Saint John the Baptist",22095
4095,1956,33,"Seneca",36099
4095,1965,33,"Wayne",36117
4152,354,10,"Collier",12021
4152,368,10,"Hendry",12051
4207,349,10,"Broward",12011
4207,354,10,"Collier",12021
4210,349,10,"Broward",12011
4210,354,10,"Collier",12021
4217,349,10,"Broward",12011
4217,386,10,"Miami-Dade",12086
4238,215,5,"Colusa",6011
4238,220,5,"Glenn",6021
4246,1164,19,"Saint Tammany",22103
4246,1171,19,"Washington",22117
4248,368,10,"Hendry",12051
4248,393,10,"Palm Beach",12099
4263,368,10,"Hendry",12051
4263,393,10,"Palm Beach",12099
4267,349,10,"Broward",12011
4267,393,10,"Palm Beach",12099
4314,2609,44,"Cameron",48061
4314,2686,44,"Hidalgo",48215
4330,243,5,"Sacramento",6067
4330,266,5,"Yolo",6113
4340,368,10,"Hendry",12051
4340,393,10,"Palm Beach",12099
4347,256,5,"Siskiyou",6093
4347,2305,38,"Klamath",41035
4349,273,6,"Bent",8011
4349,299,6,"Kiowa",8061
4364,1984,34,"Carteret",37031
4364,1993,34,"Craven",37049
4423,352,10,"Citrus",12017
4423,384,10,"Marion",12083
4449,598,14,"Bureau",17011
4449,629,14,"Henry",17073
4568,219,5,"Fresno",6019
4568,225,5,"Kings",6031
4629,1139,19,"Jefferson",22051
4629,1150,19,"Plaquemines",22075
4631,1139,19,"Jefferson",22051
4631,1150,19,"Plaquemines",22075
4678,273,6,"Bent",8011
4678,281,6,"Crowley",8025
4678,299,6,"Kiowa",8061
4678,313,6,"Otero",8089
4689,1465,24,"Stearns",27145
4689,1478,24,"Wright",27171
4692,1139,19,"Jefferson",22051
4692,1150,19,"Plaquemines",22075
4696,1142,19,"Lafourche",22057
4696,1157,19,"Saint Charles",22089
4701,1139,19,"Jefferson",22051
4701,1150,19,"Plaquemines",22075
4705,1139,19,"Jefferson",22051
4705,1150,19,"Plaquemines",22075
4709,1139,19,"Jefferson",22051
4709,1157,19,"Saint Charles",22089
4723,364,10,"Glades",12043
4723,368,10,"Hendry",12051
4745,1139,19,"Jefferson",22051
4745,1150,19,"Plaquemines",22075
4797,377,10,"Lake",12069
4797,391,10,"Orange",12095
4825,364,10,"Glades",12043
4825,368,10,"Hendry",12051
4854,1159,19,"Saint James",22093
4854,1160,19,"Saint John the Baptist",22095
4867,571,13,"Gem",16045
4867,586,13,"Payette",16075
4917,348,10,"Brevard",12009
4917,373,10,"Indian River",12061
4973,1938,33,"Niagara",36063
4973,1943,33,"Orleans",36073
5014,215,5,"Colusa",6011
5014,220,5,"Glenn",6021
5046,1793,28,"Morrill",31123
5046,1810,28,"Scotts Bluff",31157
5047,1814,28,"Sioux",31165
5047,3130,51,"Goshen",56015
5053,1142,19,"Lafourche",22057
5053,1157,19,"Saint Charles",22089
5061,1139,19,"Jefferson",22051
5061,1157,19,"Saint Charles",22089
5236,150,4,"Craighead",5031
5236,162,4,"Greene",5055
5236,172,4,"Lawrence",5075
5296,662,14,"Morgan",17137
5296,679,14,"Scott",17171
5297,1485,25,"Bolivar",28011
5297,1555,25,"Washington",28151
5304,564,13,"Cassia",16031
5304,575,13,"Jerome",16053
5310,572,13,"Gooding",16047
5310,575,13,"Jerome",16053
5384,1956,33,"Seneca",36099
5384,1965,33,"Wayne",36117
5391,1148,19,"Orleans",22071
5391,1150,19,"Plaquemines",22075
5500,1164,19,"Saint Tammany",22103
5500,1502,25,"Hancock",28045
5525,1139,19,"Jefferson",22051
5525,1142,19,"Lafourche",22057
5584,1852,31,"Atlantic",34001
5584,1854,31,"Burlington",34005
5624,352,10,"Citrus",12017
5624,403,10,"Sumter",12119
5626,352,10,"Citrus",12017
5626,403,10,"Sumter",12119
5627,352,10,"Citrus",12017
5627,403,10,"Sumter",12119
5638,846,16,"Louisa",19115
5638,858,16,"Muscatine",19139
5642,352,10,"Citrus",12017
5642,384,10,"Marion",12083
5643,352,10,"Citrus",12017
5643,403,10,"Sumter",12119
5647,352,10,"Citrus",12017
5647,403,10,"Sumter",12119
5658,425,11,"Bryan",13029
5658,435,11,"Chatham",13051
5672,281,6,"Crowley",8025
5672,319,6,"Pueblo",8101
5680,1755,28,"Dawson",31047
5680,1787,28,"Lincoln",31111
5711,1755,28,"Dawson",31047
5711,1768,28,"Gosper",31073
5717,1768,28,"Gosper",31073
5717,1800,28,"Phelps",31137
5741,1485,25,"Bolivar",28011
5741,1555,25,"Washington",28151
5753,351,10,"Charlotte",12015
5753,401,10,"Sarasota",12115
5757,351,10,"Charlotte",12015
5757,401,10,"Sarasota",12115
5767,224,5,"Kern",6029
5767,225,5,"Kings",6031
5768,2507,43,"Fayette",47047
5768,2562,43,"Shelby",47157
5802,369,10,"Hernando",12053
5802,394,10,"Pasco",12101
5804,343,9,"District of Columbia",11001
5804,1207,21,"Montgomery",24031
5804,2887,47,"Fairfax",51059
5813,2598,44,"Brazoria",48039
5813,2657,44,"Fort Bend",48157
5817,1778,28,"Howard",31093
5817,1813,28,"Sherman",31163
5826,369,10,"Hernando",12053
5826,403,10,"Sumter",12119
5835,385,10,"Martin",12085
5835,393,10,"Palm Beach",12099
5866,352,10,"Citrus",12017
5866,380,10,"Levy",12075
5889,351,10,"Charlotte",12015
5889,401,10,"Sarasota",12115
5918,2405,41,"Charleston",45019
5918,2413,41,"Dorchester",45035
5942,608,14,"Cook",17031
5942,692,14,"Will",17197
5994,150,4,"Craighead",5031
5994,153,4,"Cross",5037
5994,190,4,"Poinsett",5111
6011,2979,48,"Adams",53001
6011,2989,48,"Franklin",53021
6019,1906,33,"Albany",36001
6019,1952,33,"Saratoga",36091
6021,1952,33,"Saratoga",36091
6021,1953,33,"Schenectady",36093
6023,143,4,"Chicot",5017
6023,155,4,"Desha",5041
6095,597,14,"Brown",17009
6095,668,14,"Pike",17149
6097,2144,36,"Fairfield",39045
6097,2167,36,"Licking",39089
6101,3087,50,"Marathon",55073
6101,3122,50,"Wood",55141
6119,1987,34,"Chatham",37037
6119,2021,34,"Lee",37105
6131,2979,48,"Adams",53001
6131,2991,48,"Grant",53025
6148,2979,48,"Adams",53001
6148,2991,48,"Grant",53025
6164,2141,36,"Defiance",39039
6164,2156,36,"Henry",39069
6174,699,15,"Benton",18007
6174,775,15,"Tippecanoe",18157
6182,668,14,"Pike",17149
6182,679,14,"Scott",17171
6183,2979,48,"Adams",53001
6183,2991,48,"Grant",53025
6212,549,13,"Ada",16001
6212,562,13,"Canyon",16027
6225,349,10,"Broward",12011
6225,368,10,"Hendry",12051
6225,386,10,"Miami-Dade",12086
6225,393,10,"Palm Beach",12099
6227,364,10,"Glades",12043
6227,370,10,"Highlands",12055
6242,228,5,"Los Angeles",6037
6242,245,5,"San Bernardino",6071
6245,303,6,"Larimer",8069
6245,330,6,"Weld",8123
6246,303,6,"Larimer",8069
6246,330,6,"Weld",8123
6248,351,10,"Charlotte",12015
6248,401,10,"Sarasota",12115
6250,351,10,"Charlotte",12015
6250,401,10,"Sarasota",12115
6251,351,10,"Charlotte",12015
6251,401,10,"Sarasota",12115
6252,351,10,"Charlotte",12015
6252,401,10,"Sarasota",12115
6254,351,10,"Charlotte",12015
6254,401,10,"Sarasota",12115
6257,351,10,"Charlotte",12015
6257,401,10,"Sarasota",12115
6260,1927,33,"Herkimer",36043
6260,1939,33,"Oneida",36065
6339,1122,19,"Calcasieu",22019
6339,1306,44,"Orange",48361
6341,1122,19,"Calcasieu",22019
6341,1306,44,"Orange",48361
6348,135,4,"Arkansas",5001
6348,177,4,"Lonoke",5085
6352,135,4,"Arkansas",5001
6352,177,4,"Lonoke",5085
6431,1135,19,"Iberia",22045
6431,1163,19,"Saint Mary",22101
6437,1755,28,"Dawson",31047
6437,1787,28,"Lincoln",31111
6452,572,13,"Gooding",16047
6452,575,13,"Jerome",16053
6453,1920,33,"Erie",36029
6453,1938,33,"Niagara",36063
6498,219,5,"Fresno",6019
6498,233,5,"Merced",6047
6505,3054,50,"Buffalo",55011
6505,3112,50,"Trempealeau",55121
6513,256,5,"Siskiyou",6093
6513,2305,38,"Klamath",41035
6514,256,5,"Siskiyou",6093
6514,2305,38,"Klamath",41035
6535,1756,28,"Deuel",31049
6535,1782,28,"Keith",31101
6543,1142,19,"Lafourche",22057
6543,1167,19,"Terrebonne",22109
6548,233,5,"Merced",6047
6548,259,5,"Stanislaus",6099
6549,3007,48,"Skagit",53057
6549,3009,48,"Snohomish",53061
6568,364,10,"Glades",12043
6568,390,10,"Okeechobee",12093
6571,1139,19,"Jefferson",22051
6571,1150,19,"Plaquemines",22075
6572,1826,29,"Churchill",32001
6572,1835,29,"Lyon",32019
6572,1839,29,"Storey",32029
6573,1781,28,"Kearney",31099
6573,1800,28,"Phelps",31137
6577,1952,33,"Saratoga",36091
6577,1963,33,"Warren",36113
6577,1964,33,"Washington",36115
6591,1136,19,"Iberville",22047
6591,1162,19,"Saint Martin",22099
6615,551,13,"Bannock",16005
6615,554,13,"Bingham",16011
6642,281,6,"Crowley",8025
6642,313,6,"Otero",8089
6643,273,6,"Bent",8011
6643,313,6,"Otero",8089
6668,1115,19,"Ascension",22005
6668,1136,19,"Iberville",22047
6669,1116,19,"Assumption",22007
6669,1136,19,"Iberville",22047
6721,215,5,"Colusa",6011
6721,266,5,"Yolo",6113
6731,373,10,"Indian River",12061
6731,399,10,"Saint Lucie",12111
6759,575,13,"Jerome",16053
6759,580,13,"Lincoln",16063
6766,1116,19,"Assumption",22007
6766,1162,19,"Saint Martin",22099
6770,1162,19,"Saint Martin",22099
6770,1163,19,"Saint Mary",22101
6784,1161,19,"Saint Landry",22097
6784,1162,19,"Saint Martin",22099
6811,549,13,"Ada",16001
6811,562,13,"Canyon",16027
6824,1135,19,"Iberia",22045
6824,1162,19,"Saint Martin",22099
6836,127,3,"Maricopa",4013
6836,131,3,"Pinal",4021
6860,1124,19,"Cameron",22023
6860,1169,19,"Vermilion",22113
6878,1519,25,"Leake",28079
6878,1530,25,"Newton",28101
6878,1541,25,"Scott",28123
6879,1519,25,"Leake",28079
6879,1541,25,"Scott",28123
6881,1162,19,"Saint Martin",22099
6881,1163,19,"Saint Mary",22101
6886,1136,19,"Iberville",22047
6886,1162,19,"Saint Martin",22099
6898,130,3,"Pima",4019
6898,131,3,"Pinal",4021
6935,564,13,"Cassia",16031
6935,575,13,"Jerome",16053
7004,349,10,"Broward",12011
7004,386,10,"Miami-Dade",12086
7036,341,8,"New Castle",10003
7036,1868,31,"Salem",34033
7066,1528,25,"Montgomery",28097
7066,1557,25,"Webster",28155
7091,1686,27,"Dawson",30021
7091,1717,27,"Richland",30083
7108,370,10,"Highlands",12055
7108,390,10,"Okeechobee",12093
7113,351,10,"Charlotte",12015
7113,401,10,"Sarasota",12115
7119,554,13,"Bingham",16011
7119,558,13,"Bonneville",16019
7123,364,10,"Glades",12043
7123,368,10,"Hendry",12051
7129,716,15,"Fayette",18041
7129,785,15,"Wayne",18177
7131,269,6,"Alamosa",8003
7131,321,6,"Rio Grande",8105
7156,321,6,"Rio Grande",8105
7156,323,6,"Saguache",8109
7159,321,6,"Rio Grande",8105
7159,323,6,"Saguache",8109
7179,1139,19,"Jefferson",22051
7179,1148,19,"Orleans",22071
7180,549,13,"Ada",16001
7180,562,13,"Canyon",16027
7182,1139,19,"Jefferson",22051
7182,1142,19,"Lafourche",22057
7182,1148,19,"Orleans",22071
7182,1150,19,"Plaquemines",22075
7194,382,10,"Madison",12079
7194,404,10,"Suwannee",12121
7207,1139,19,"Jefferson",22051
7207,1157,19,"Saint Charles",22089
7215,1496,25,"Desoto",28033
7215,1526,25,"Marshall",28093
7248,392,10,"Osceola",12097
7248,396,10,"Polk",12105
7268,564,13,"Cassia",16031
7268,582,13,"Minidoka",16067
7300,831,16,"Harrison",19085
7300,855,16,"Monona",19133
7300,885,16,"Woodbury",19193
7301,1115,19,"Ascension",22005
7301,1144,19,"Livingston",22063
7302,1139,19,"Jefferson",22051
7302,1148,19,"Orleans",22071
7315,2807,45,"Box Elder",49003
7315,2834,45,"Weber",49057
7324,1125,19,"Catahoula",22025
7324,1140,19,"La Salle",22059
7326,1139,19,"Jefferson",22051
7326,1148,19,"Orleans",22071
7328,371,10,"Hillsborough",12057
7328,396,10,"Polk",12105
7330,371,10,"Hillsborough",12057
7330,383,10,"Manatee",12081
7339,1122,19,"Calcasieu",22019
7339,1124,19,"Cameron",22023
7381,1124,19,"Cameron",22023
7381,1138,19,"Jefferson Davis",22053
7407,1122,19,"Calcasieu",22019
7407,1138,19,"Jefferson Davis",22053
7415,1934,33,"Monroe",36055
7415,1943,33,"Orleans",36073
7447,210,5,"Alameda",6001
7447,248,5,"San Joaquin",6077
7449,219,5,"Fresno",6019
7449,233,5,"Merced",6047
7452,219,5,"Fresno",6019
7452,263,5,"Tulare",6107
7469,229,5,"Madera",6039
7469,233,5,"Merced",6047
7482,210,5,"Alameda",6001
7482,248,5,"San Joaquin",6077
7496,348,10,"Brevard",12009
7496,373,10,"Indian River",12061
7522,219,5,"Fresno",6019
7522,263,5,"Tulare",6107
7523,385,10,"Martin",12085
7523,390,10,"Okeechobee",12093
7527,126,3,"La Paz",4012
7527,242,5,"Riverside",6065
7532,1122,19,"Calcasieu",22019
7532,1138,19,"Jefferson Davis",22053
7570,1122,19,"Calcasieu",22019
7570,1138,19,"Jefferson Davis",22053
7586,1122,19,"Calcasieu",22019
7586,1306,44,"Orange",48361
7605,1124,19,"Cameron",22023
7605,1169,19,"Vermilion",22113
7638,2981,48,"Benton",53005
7638,3017,48,"Yakima",53077
7645,2598,44,"Brazoria",48039
7645,2736,44,"Matagorda",48321
7650,341,8,"New Castle",10003
7650,1199,21,"Cecil",24015
7651,181,4,"Mississippi",5093
7651,1596,26,"Dunklin",29069
7652,181,4,"Mississippi",5093
7652,190,4,"Poinsett",5111
7652,1596,26,"Dunklin",29069
7653,181,4,"Mississippi",5093
7653,1596,26,"Dunklin",29069
7653,1639,26,"Pemiscot",29155
7656,2812,45,"Duchesne",49013
7656,2829,45,"Uintah",49047
7670,555,13,"Blaine",16013
7670,580,13,"Lincoln",16063
7671,572,13,"Gooding",16047
7671,580,13,"Lincoln",16063
7683,1146,19,"Morehouse",22067
7683,1154,19,"Richland",22083
7684,2614,44,"Chambers",48071
7684,2662,44,"Galveston",48167
7684,2701,44,"Jefferson",48245
7708,1676,27,"Beaverhead",30001
7708,1703,27,"Madison",30057
7717,1778,28,"Howard",31093
7717,1813,28,"Sherman",31163
7720,1767,28,"Garfield",31071
7720,1819,28,"Valley",31175
7728,1933,33,"Madison",36053
