site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	alt_va	huc_cd	drain_area_va	contrib_drain_area_va
01460440	Delaware and Raritan Canal at Port Mercer NJ	ST-CA	40.30444444	-74.685	0	2040105		
02037000	"JAMES RIVER AND KANAWHA CANAL NEAR RICHMOND, VA"	ST-CA	37.5645912	-77.5741546	106.07	2080205		
02043120	"ALBEMARLE&CHESAPEAKE CNL NR PRINCESS ANNE, VA AC1"	ST-CA	36.71792779	-76.100211		3010205		
02084556	"NORTH LAKE CANAL ABOVE PUNGO LAKE NR WENONA, NC"	ST-CA	35.72655384	-76.5166004		3020104	0.29	
02084558	"ALBEMARLE CANAL NR SWINDELL, NC"	ST-CA	35.63771389	-76.6786083		3020104	74.65	
0208463140	"OUTFLOW DRAINAGE CANAL NR BUXTON, NC"	ST-CA	35.2360722	-75.5501611	0	3020105		
02102094	CAPE FEAR PWR PLT DISCHARGE CANAL NR BRICKHAVEN NC	ST-CA	35.5847222	-79.0411111	162.6	3030004		
02248600	"DRAINAGE CANAL AT PLAZA PKWY AT COCOA, FL"	ST-CA	28.36875277	-80.7372679		3080101		
02270805	PLACID-JUNE CANAL OUTFALL NEAR LAKE PLACID FL	ST-CA	27.26782336	-81.3867396		3090101		
02276568	SAVANNAHS DRAINAGE CANAL AT PORT ST LUCIE FL	ST-CA	27.30365524	-80.3072717		3090202	17	
02276870	"ST. LUCIE CANAL AT LAKE OKEECHOBEE, FLA."	ST-CA	26.98366597	-80.6164447		3090202		
02276877	"ST. LUCIE CANAL BLW S-308, NR PORT MAYACA (AUX) FL"	ST-CA	26.98366597	-80.6164447		3090202		
02277700	22  C-18 CA AB S-46 @ SR 706 NR JUPITER FL	ST-CA	26.93422439	-80.1417101		3090202		
02277900	"CANAL M NEAR MAGNOLIA PARK, FLA."	ST-CA	26.75034127	-80.1089317		3090202		
02278000	WEST PALM BEACH CANAL AT S352 AT CANAL POINT FLA	ST-CA	26.8642256	-80.631723		3090202		
02278450	"WEST PALM BEACH C ABV S-5A,NRLOXAHATCHEE, FLA"	ST-CA	26.68506528	-80.3706056		3090202		
02278600	"WEST PALM BEACH CA BL S-5A-E NR LOXAHATCHEE, FLA"	ST-CA	26.6850653	-80.363661		3090202		
02279000	WEST PALM BEACH CANAL AT WEST PALM BEACH FLA	ST-CA	26.64478938	-80.0586527		3090202		
02280500	HILLSBORO CANAL BELOW S351 NR SOUTH BAY FLA	ST-CA	26.70034336	-80.712281		3090202		
02281200	HILLSBORO CANAL AT S-6 NEAR SHAWANO	ST-CA	26.4720184	-80.4458857		3090202		
02281300	10B HILLSBORO CANAL AT S-39 NR DEERFIELD BCH	ST-CA	26.3559112	-80.2992158		3090202		
02281400	"HILLSBORO CANAL NR MARGATE, FLA."	ST-CA	26.33035644	-80.2122691		3090202		
02281468	"Lateral 47 Canal at Boca Raton, Fl"	ST-CA	26.35757757	-80.1536561		3090202		
02281490	"C-2 CANAL ABOVE S-4 NEAR DEERFIELD BEACH, FL"	ST-CA	26.3278564	-80.1336556		3090202		
02281500	"HILLSBORO CANAL NR. DEERFIELD BEACH,FLA"	ST-CA	26.3278564	-80.1308777		3090202		
02282700	"MIDDLE RIVER CANAL AT S-36 NR FT LAUDERDALE, FL"	ST-CA	26.17313998	-80.17949079		3090202		
02283500	N NEW RIVER CANAL BELOW S351 NR SOUTH  BAY FLA	ST-CA	26.6975657	-80.7136699		3090202		
02284300	"NORTH NEW RIVER CANAL AT S-7, AT TERRYTOWN,  FL"	ST-CA	26.33369027	-80.53588848		3090202		
02285000	"NORTH NEW RIVER CANAL NEAR FT LAUDERDALE, FL"	ST-CA	26.09453194	-80.2297703		3090202		
02285400	"SOUTH NEW RIVER CANAL AT S-9 NR DAVIE, FL"	ST-CA	26.06147799	-80.4414426		3090202	83	
02286100	"SOUTH NEW RIVER CANAL AT S-13 NR DAVIE, FL"	ST-CA	26.0661996	-80.2086586		3090202		
02286200	"SNAKE CREEK CANAL AT NW67 AVE NR HIALEAH, FL"	ST-CA	25.96425918	-80.310884		3090202		
02286380	"LITTLE RIVER CANAL AT S-27 AT MIAMI, FL"	ST-CA	25.93370499	-80.4303317		3090202		
02286400	"MIAMI CANAL AT S-354 AND S-3 AT LAKE HARBOR, FLA"	ST-CA	26.69534407	-80.8067278		3090202		
02287395	"MIAMI CANAL EAST OF LEVEE 30 NEAR MIAMI, FL"	ST-CA	25.94148249	-80.4394986		3090202		
02287497	N.W. WELLFIELD CANAL NR DADE BROWARD LEVEE NR PENN	ST-CA	25.8914843	-80.42005379		3090202		
02288010	"N.W. WELLFIELD CANAL NR PENNSUCO, FL"	ST-CA	25.87648479	-80.3878308		3090202		
02288200	MIAMI CANAL AT PALMETTO BYPASS  NR HIALEAH	ST-CA	25.8534299	-80.3225513		3090202		
02288600	"MIAMI CANAL AT NW36 ST, MIAMI,FL"	ST-CA	25.80843135	-80.2633833		3090202		
02288800	"TAMIAMI CANAL OUTLETS, MONROE TO CARNESTOWN, FLA"	ST-CA	25.88772088	-81.2616343		3090204		
02288900	"TAMIAMI CANAL OUTLETS, 40-MILE BEND TO MONROE, FL"	ST-CA	25.85176527	-80.9803467		3090204		
02289000	"TAMIAMI CANAL OUTLETS, MIAMI TO MONROE, FLA."	ST-CA	25.7670457	-80.8331209		3090202	98.7	
02289019	"TAMIAMI CANAL AT S-12-B  NR MIAMI, FL"	ST-CA	25.76183333	-80.7694722		3090202		
02289027	"DRAINAGE CANAL BELOW G-136 NR CLEWISTON, FL"	ST-CA	26.66701244	-80.969232		3090202		
02289030	"LEVEE 3 CANAL NR CLEWISTON, FLA"	ST-CA	26.43091007	-80.94701		3090202		
02289031	"LEVEE 3 CANAL BELOW G-155 NR CLEWISTON, FL"	ST-CA	26.33035794	-80.8797864		3090202		
02289032	"LEVEE 4 CANAL BELOW G-88 NR CLEWISTON, FL"	ST-CA	26.331469	-80.8797864		3090202		
02289035	"THREE MILE CANAL BELOW G409 NEAR CLEWISTON, FL"	ST-CA	26.32719444	-80.8816111		3090202		
02289041	"TAMIAMI CANAL BELOW S-12-C, NEARMIAMI, FLA"	ST-CA	25.76148997	-80.7258958		3090202		
02289050	"TAMIAMI CANAL AT S-333 NR MIAMI, FL"	ST-CA	25.76121208	-80.6739499		3090202		
02289060	"TAMIAMI CANAL OUTLETS L-30 TO L-67A NR MIAMI, FL"	ST-CA	25.76148959	-80.56089139		3090202		
02289096	N.W. WELLFIELD CANAL AT CONS AREA NO.3 NR PENNSUCO	ST-CA	25.92564979	-80.454499		3090202		
02289500	"TAMIAMI CANAL NEAR CORAL GABLES, FL"	ST-CA	25.76232213	-80.32810739		3090202		
02290700	"SNAPPER CREEK CANAL AT S-22 NEAR SOUTH MIAMI, FL"	ST-CA	25.67010294	-80.2839402		3090202		
02290710	"BLACK CREEK CANAL AT S-21 NEAR GOULDS, FL"	ST-CA	25.54316317	-80.3308866		3090202		
02290725	MOWRY CANAL NEAR HOMESTEAD	ST-CA	25.4706659	-80.346165		3090202		
02290769	"CANAL 111 AT S-18-C NEAR FLORIDA CITY, FL"	ST-CA	25.33067204	-80.525059		3090202		
02291001	"BARRON RIVER BELOW SR29-3 AT COPELAND, FL"	ST-CA	25.95794444	-81.3551944		3090204		
02291673	"TENMILE CANAL AT CONTROL NEAR ESTERO, FL"	ST-CA	26.50727528	-81.8542225		3090204		
02292000	CALOOSAHATCHEE CA AT MOORE HAVEN FLA	ST-CA	26.83367288	-81.0831232		3090205		
02292010	CALOOSAHATCHEE CANAL DWS OF S-77 AT MOORE HAVEN FL	ST-CA	26.83333333	-81.08888889		3090205		
02292480	CALOOSAHATCHEE CANAL AT ORTONA LOCK NR LA BELLE	ST-CA	26.7897863	-81.3028506		3090205		
02292780	"TOWNSEND CANAL NEAR ALVA,FL"	ST-CA	26.7095125	-81.55813419		3090205		
02293214	"MEADE CANAL AT CAPE CORAL, FL"	ST-CA	26.6364617	-81.9298099		3090205		
02293216	"MACKINAC CANAL AT CAPE CORAL, FL"	ST-CA	26.63618405	-81.95786619		3090205		
02293240	"ARIES CANAL AT CAPE CORAL, FL"	ST-CA	26.6003523	-81.9939785		3090205		
02293241	"SAN CARLOS CANAL AT CAPE CORAL, FL"	ST-CA	26.60340765	-81.9631443		3090205		
02293243	"COURTNEY CANAL AT CAPE CORAL, FL"	ST-CA	26.57813097	-81.983145		3090205		
02293345	"SHADROE CANAL AT CAPE CORAL, FL"	ST-CA	26.6522948	-82.039257		3100103		
02293346	"HORSESHOE CANAL AT CAPE CORAL, FL"	ST-CA	26.67840488	-82.0403679		3100103		
02293347	"HERMOSA CANAL AT CAPE CORAL, FL"	ST-CA	26.67840488	-82.0403679		3100103		
02293694	PEACE CREEK DRAINAGE CANAL NEAR DUNDEE FL	ST-CA	28.03085389	-81.6595218	114.08	3100101	58	
02293986	PEACE CREEK DRAINAGE CANAL NEAR ALTURAS FL	ST-CA	27.92335788	-81.7075792	97.73	3100101	160	
02293987	PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL	ST-CA	27.92474686	-81.7267463	62	3100101	162	
02294260	LAKE PARKER OUTLET AT LAKELAND FL	ST-CA	28.0597422	-81.914248	125.31	3100101		
02294405	"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL"	ST-CA	27.98280097	-81.8934151	99.94	3100101	18.8	
02299410	BIG SLOUGH CANAL NEAR MYAKKA CITY FL	ST-CA	27.1933843	-82.1442558	2.28	3100102	36.5	36.5
02299455	BIG SLOUGH CANAL AT N. PORT CHARLOTTE FL	ST-CA	27.1086657	-82.2053687	0	3100102	86.2	86.2
02299692	BLACKBURN CANAL NEAR VENICE FL	ST-CA	27.1117214	-82.36009439	0	3100201		
02301802	"TAMPA BYPASS CANAL AT S-160,AT TAMPA FL"	ST-CA	27.9561331	-82.3706485		3100206	29	
02303174	WESTSIDE CANAL AT PLANT CITY FL	ST-CA	28.02002103	-82.1370315		3100205	2	
02303351	MORRIS BRIDGE BACKWASH POND OUTFLOW NR THONOTOSASS	ST-CA	28.1219588	-82.3717581		3100205		
02303500	HANNA LAKE OUTLET NR LUTZ	ST-CA	28.1364027	-82.4428714		3100205		
02306654	HENRY STREET CANAL NEAR TAMPA FL	ST-CA	28.00048604	-82.556316	0	3100206		
02307498	"LAKE TARPON CANAL AT S-551, NEAR OLDSMAR FL"	ST-CA	28.05362833	-82.7109336	-10	3100206	65	
02308865	ROOSEVELT CANAL AT STR 23-8 NR PINELLAS PARK FL	ST-CA	27.90752248	-82.6756549	-2.32	3100206	4.6	
03438190	"BARKLEY-KENTUCKY CANAL NEAR GRAND RIVERS, KY"	ST-CA	36.98977738	-88.2214187		6040005		
04087233	"ROOT RIVER CANAL NEAR FRANKLIN, WI"	ST-CA	42.81555556	-87.9947222	680	4040002	57	
04092750	"INDIANA HARBOR CANAL AT EAST CHICAGO, IN"	ST-CA	41.6492023	-87.4686529	570.2	4040001		
04186000	Miami and Erie Canal at Delphos OH	ST-CA	40.859772	-84.34022869	790	4100007		
04192000	Miami and Erie Canal near Defiance OH	ST-CA	41.291715	-84.2805018		4100009		
04207000	Ohio Canal Feeder at Brecksville OH	ST-CA	41.32033225	-81.5870659	605.31	4110002		
04207500	Ohio Canal at Independence OH	ST-CA	41.39033098	-81.6248474		4110002		
05018000	St. Mary Canal at intake near Babb MT	ST-CA	48.85277778	-113.4169444	4470	10010002		
05018500	St. Mary Canal at St. Mary Crossing near Babb MT	ST-CA	48.94696667	-113.3753306	4450	10010002		
06053500	Broadwater East Canal near Toston MT	ST-CA	46.1388181	-111.4007967	3939	10030101		
06054000	Broadwater West Canal near Toston MT	ST-CA	46.1360403	-111.4035747	3940	10030101		
06080700	Spring Valley CA bl S V D nr Fairfield MT	ST-CA	47.59161655	-112.1786245		10030104		
06080800	Spring Valley CA ab U T D nr Fairfield MT	ST-CA	47.61106138	-112.1383445		10030104		
06081000	Floweree Big Canal near Augusta MT	ST-CA	47.54976389	-112.364486		10030104		
06085000	Crown Butte Canal at Riebeling MT	ST-CA	47.50828219	-112.1425088		10030104		
06085500	Crown Butte Canal near Simms MT	ST-CA	47.50828236	-112.0258335		10030104		
06086500	Sun River Canal near Sun River MT	ST-CA	47.53884248	-111.7397063		10030104		
06087000	Sun River Canal at Vaughn MT	ST-CA	47.5686083	-111.5531472		10030104		
06091800	Two Medicine Canal near Browning MT	ST-CA	48.47802959	-112.8139595		10030201		
06142500	Fort Belknap Canal near Chinook MT	ST-CA	48.6033342	-109.3962943		10050004		
06144000	New Paradise Valley Canal nr Chinook MT	ST-CA	48.5644833	-109.1679778		10050004		
