fips,profit,crop,yield,price,costs
30027,247.919058584026,Soybean,39.72935583644027,9.56,131.893583212343
16079,340.92225901880005,Soybean,49.45772408275555,9.56,131.893583212343
22035,281.9088215316186,Cotton,944.4640420699927,0.9055176093916756,573.32
5099,189.64634986485294,Barley,77.33336114230458,4.106072013093289,127.89
39001,340.20481695779927,Soybean,46.63740433479306,9.91,121.97185999999999
29201,221.07536199597232,Wheat,72.4002172738696,5.036799276672695,143.59
46009,250.67010764087473,Rice,6166.195642839599,0.11300000000000002,446.11000000000007
1131,74.69109670343518,Barley,49.33695659926376,4.106072013093289,127.89
17131,267.53209412931216,Soybean,39.30514168812433,9.91,121.98186
29125,107.07029919359613,Wheat,49.765790817692086,5.036799276672695,143.59
40097,38.1087297244581,Soybean,16.066255413856016,10.57,131.71159
41057,888.7540795250966,Rice,8803.793796505146,0.1645,559.47
6037,650.9248932571086,Rice,7358.023667216465,0.1645,559.47
48223,60.51311038896053,Barley,45.884024875401046,4.106072013093289,127.89
42109,317.6527125378856,Soybean,46.97979205516775,9.75,140.40026
8075,519.7846351537174,Wheat,25.368771601126653,5.26809312638581,-386.1395838569706
30033,396.11295526480615,Soybean,53.662333885199814,9.54,115.82570999999999
41045,331.72379589107413,Soybean,48.49554174721936,9.56,131.893583212343
22125,139.0890530355868,Soybean,29.615906055117737,10.08,159.43928
19033,568.7399083949792,Soybean,69.69947208829255,9.91,121.98186
56015,539.9724128387528,Corn,77.28475393881119,3.9981944444444446,-230.97293900034197
18183,392.9522212931008,Soybean,51.96004856640775,9.91,121.97185999999999
38027,865.6773951526936,Soybean,47.97581376346602,9.54,-407.9881318492278
8045,436.8830883384193,Soybean,59.49546773543539,9.56,131.893583212343
49003,610.3275715647842,Barley,82.43946147577579,4.233601462522852,-261.31174689134355
38085,722.9937818999413,Corn,31.853568645931755,3.9981944444444446,-595.6370207040471
48347,88.968305012325,Soybean,22.093045328254675,10.7,147.42728
40043,403.17672399195004,Wheat,12.866373539084734,4.506692111959287,-345.19193985383515
21211,260.6647882742476,Soybean,24.711494700994123,10.57,0.5357107152602794
13281,369.729898822202,Soybean,48.33244661889739,10.7,147.42728
40051,247.49448582012977,Wheat,21.66135922188111,4.506692111959287,-149.8734090805616
13271,64.6846461530088,Soybean,19.823544500281198,10.7,147.42728
13217,133.08220823651988,Barley,63.55763060276133,4.106072013093289,127.89
5047,123.60364703047814,Barley,61.249205135351886,4.106072013093289,127.89
38033,293.6477879288274,Wheat,4.787031204860229,5.26809312638581,-268.4292617427089
54045,528.947332943728,Soybean,62.50415543460057,10.57,131.72159
36107,498.2496464473651,Soybean,65.50255450742206,9.75,140.40026
17165,331.8890832821011,Soybean,40.28442183231614,9.91,67.32953707615184
28097,183.5302069975197,Cotton,674.1406997782922,0.9055176093916756,426.91606785935073
31141,390.715425451225,Soybean,51.735346665108466,9.91,121.98186
18145,400.3864360357154,Soybean,52.71123067968874,9.91,121.98186
45013,48.56286493838445,Soybean,18.87619750530622,9.56,131.893583212343
40139,813.4999810948058,Wheat,9.65088118617718,4.506692111959287,-770.0064309796048
37119,136.0787823377412,Barley,64.28742152987267,4.106072013093289,127.89
18045,227.59107037573904,Soybean,35.274765930952476,9.91,121.98186
19085,273.07845682386164,Soybean,39.86481501754406,9.91,121.98186
51085,479.59270399581544,Soybean,39.417544176677296,10.7,-57.8249813053684
29143,265.456127886953,Wheat,81.21152053475686,5.036799276672695,143.59
8037,566.3754914013775,Soybean,73.04069818135152,9.56,131.893583212343
47171,388.0638326054835,Soybean,49.17553667033902,10.57,131.72159
18073,198.60987361818218,Soybean,32.35032629850476,9.91,121.98186
27099,494.3828049288338,Soybean,62.19623258615881,9.91,121.98186
40031,391.5325888586735,Wheat,17.464004441636725,4.506692111959287,-312.8276977983273
54087,565.8817686199037,Soybean,65.9984256026399,10.57,131.72159
21067,249.4804916406106,Wheat,71.80417248102081,4.905849889624724,102.78
8027,304.92628789703565,Soybean,45.63532015322781,9.77,140.93079
39057,359.6401799733379,Wheat,99.9107076400653,5.036799276672695,143.59
20121,253.79035881616227,Wheat,76.45305032084137,4.506692111959287,90.76
5101,129.73044530306203,Soybean,24.735291892437278,10.57,131.72159
