"year","population","ST"
2007,6345289,"IN"
2008,6376792,"IN"
2009,6423113,"IN"
2010,6483802,"IN"
2011,6516922,"IN"
2012,6537334,"IN"
2013,6570902,"IN"
1990,2776500,"IA"
1991,2789935,"IA"
1992,2802944,"IA"
1993,2821294,"IA"
1994,2829252,"IA"
1995,2841764,"IA"
1996,2851792,"IA"
1997,2852423,"IA"
1998,2862447,"IA"
1999,2869413,"IA"
2000,2926324,"IA"
2001,2923179,"IA"
2002,2936760,"IA"
2003,2944062,"IA"
2004,2954451,"IA"
2005,2966334,"IA"
2006,2982085,"IA"
2007,2988046,"IA"
2008,3002555,"IA"
2009,3007856,"IA"
2010,3046355,"IA"
2011,3062309,"IA"
2012,3074186,"IA"
2013,3090416,"IA"
1990,2477500,"KS"
1991,2490553,"KS"
1992,2515320,"KS"
1993,2535097,"KS"
1994,2554047,"KS"
1995,2565328,"KS"
1996,2572150,"KS"
1997,2594840,"KS"
1998,2629067,"KS"
1999,2654052,"KS"
2000,2688418,"KS"
2001,2694641,"KS"
2002,2715884,"KS"
2003,2723507,"KS"
2004,2735502,"KS"
2005,2744687,"KS"
2006,2764075,"KS"
2007,2775997,"KS"
2008,2802134,"KS"
2009,2818747,"KS"
2010,2853118,"KS"
2011,2871238,"KS"
2012,2885905,"KS"
2013,2893957,"KS"
1990,3685100,"KY"
1991,3714966,"KY"
1992,3753836,"KY"
1993,3793966,"KY"
1994,3826794,"KY"
1995,3860219,"KY"
1996,3883723,"KY"
1997,3908124,"KY"
1998,3936499,"KY"
1999,3960825,"KY"
2000,4041769,"KY"
2001,4065556,"KY"
2002,4092891,"KY"
2003,4117827,"KY"
2004,4145922,"KY"
2005,4173405,"KY"
2006,4206074,"KY"
2007,4241474,"KY"
2008,4269245,"KY"
2009,4314113,"KY"
2010,4339367,"KY"
2011,4369356,"KY"
2012,4380415,"KY"
2013,4395295,"KY"
1990,4220100,"LA"
1991,4243917,"LA"
1992,4278889,"LA"
1993,4290350,"LA"
1994,4315085,"LA"
1995,4342334,"LA"
1996,4350579,"LA"
1997,4351769,"LA"
1998,4368967,"LA"
1999,4372035,"LA"
2000,4468976,"LA"
2001,4465430,"LA"
2002,4482646,"LA"
2003,4496334,"LA"
2004,4515770,"LA"
2005,4523628,"LA"
2006,4287768,"LA"
2007,4293204,"LA"
2008,4410796,"LA"
2009,4492076,"LA"
2010,4533372,"LA"
2011,4574836,"LA"
2012,4601893,"LA"
2013,4625470,"LA"
1990,1227900,"ME"
1991,1236114,"ME"
1992,1236348,"ME"
1993,1239779,"ME"
1994,1240209,"ME"
1995,1241382,"ME"
1996,1243316,"ME"
1997,1242051,"ME"
1998,1244250,"ME"
1999,1253040,"ME"
2000,1274923,"ME"
2001,1286670,"ME"
2002,1294464,"ME"
2003,1305728,"ME"
2004,1317253,"ME"
2005,1321505,"ME"
2006,1321574,"ME"
2007,1317207,"ME"
2008,1316456,"ME"
2009,1318301,"ME"
2010,1328361,"ME"
2011,1328188,"ME"
2012,1329192,"ME"
2013,1328302,"ME"
1990,4781100,"MD"
1991,4863478,"MD"
1992,4917269,"MD"
1993,4958033,"MD"
1994,5006265,"MD"
1995,5042438,"MD"
1996,5071604,"MD"
1997,5094289,"MD"
1998,5134808,"MD"
1999,5171634,"MD"
2000,5296486,"MD"
2001,5375156,"MD"
2002,5458137,"MD"
2003,5508909,"MD"
2004,5558058,"MD"
2005,5600388,"MD"
2006,5615727,"MD"
2007,5618344,"MD"
2008,5633597,"MD"
2009,5699478,"MD"
2010,5773552,"MD"
2011,5828289,"MD"
2012,5884563,"MD"
2013,5928814,"MD"
1990,6016500,"MA"
1991,5995420,"MA"
1992,5992712,"MA"
1993,6017798,"MA"
1994,6041123,"MA"
1995,6073550,"MA"
1996,6092352,"MA"
1997,6117520,"MA"
1998,6147132,"MA"
1999,6175169,"MA"
2000,6349097,"MA"
2001,6379304,"MA"
2002,6427801,"MA"
2003,6433422,"MA"
2004,6416505,"MA"
2005,6398743,"MA"
2006,6437193,"MA"
2007,6449755,"MA"
2008,6497967,"MA"
2009,6593587,"MA"
2010,6547629,"MA"
2011,6587536,"MA"
2012,6646144,"MA"
2013,6692824,"MA"
1990,9295700,"MI"
1991,9375057,"MI"
1992,9433665,"MI"
1993,9459667,"MI"
1994,9496147,"MI"
1995,9549353,"MI"
1996,9594350,"MI"
1997,9773892,"MI"
1998,9817242,"MI"
1999,9863775,"MI"
2000,9938444,"MI"
2001,9990817,"MI"
2002,10050446,"MI"
2003,10079985,"MI"
2004,10112620,"MI"
2005,10120860,"MI"
2006,10095643,"MI"
2007,10071822,"MI"
2008,10003422,"MI"
2009,9969727,"MI"
2010,9883640,"MI"
2011,9876187,"MI"
2012,9883360,"MI"
2013,9895622,"MI"
1990,4375000,"MN"
1991,4425810,"MN"
1992,4468165,"MN"
1993,4524414,"MN"
1994,4567267,"MN"
1995,4609548,"MN"
1996,4657758,"MN"
1997,4685549,"MN"
1998,4725419,"MN"
1999,4775508,"MN"
2000,4919479,"MN"
2001,4972294,"MN"
2002,5019720,"MN"
2003,5059375,"MN"
2004,5100958,"MN"
2005,5132799,"MN"
2006,5167101,"MN"
2007,5197621,"MN"
2008,5220393,"MN"
2009,5266214,"MN"
2010,5303925,"MN"
2011,5344861,"MN"
2012,5379139,"MN"
2013,5420380,"MN"
1990,2573500,"MS"
1991,2592268,"MS"
1992,2615208,"MS"
1993,2639833,"MS"
1994,2669111,"MS"
1995,2697243,"MS"
1996,2716115,"MS"
1997,2730501,"MS"
1998,2752092,"MS"
1999,2768619,"MS"
2000,2844658,"MS"
2001,2858029,"MS"
2002,2871782,"MS"
2003,2881281,"MS"
2004,2902966,"MS"
2005,2921088,"MS"
2006,2910540,"MS"
2007,2918785,"MS"
2008,2938618,"MS"
2009,2951996,"MS"
2010,2967297,"MS"
2011,2978512,"MS"
2012,2984926,"MS"
2013,2991207,"MS"
1990,5116400,"MO"
1991,5156461,"MO"
1992,5190719,"MO"
1993,5235144,"MO"
1994,5277640,"MO"
1995,5323523,"MO"
1996,5358692,"MO"
1997,5402058,"MO"
1998,5438559,"MO"
1999,5468338,"MO"
2000,5595211,"MO"
2001,5629707,"MO"
2002,5672579,"MO"
2003,5704484,"MO"
2004,5754618,"MO"
2005,5800310,"MO"
2006,5842713,"MO"
2007,5878415,"MO"
2008,5911605,"MO"
2009,5987580,"MO"
2010,5988927,"MO"
2011,6010688,"MO"
2012,6021988,"MO"
2013,6044171,"MO"
1990,799000,"MT"
1991,807495,"MT"
1992,822347,"MT"
1993,840942,"MT"
1994,856047,"MT"
1995,870281,"MT"
1996,879372,"MT"
1997,878810,"MT"
1998,880453,"MT"
1999,882779,"MT"
2000,902195,"MT"
2001,904433,"MT"
2002,909453,"MT"
2003,917621,"MT"
2004,926865,"MT"
2005,935670,"MT"
2006,944632,"MT"
2007,957861,"MT"
2008,967440,"MT"
2009,974989,"MT"
2010,989415,"MT"
2011,998199,"MT"
2012,1005141,"MT"
2013,1015165,"MT"
1990,1578200,"NE"
1991,1590317,"NE"
1992,1600524,"NE"
1993,1613326,"NE"
1994,1622858,"NE"
1995,1637112,"NE"
1996,1652093,"NE"
1997,1656870,"NE"
1998,1662719,"NE"
1999,1666028,"NE"
2000,1711263,"NE"
2001,1713235,"NE"
2002,1729180,"NE"
2003,1739291,"NE"
2004,1747214,"NE"
2005,1758787,"NE"
2006,1768331,"NE"
2007,1774571,"NE"
2008,1783432,"NE"
2009,1796619,"NE"
2010,1826341,"NE"
2011,1842641,"NE"
2012,1855525,"NE"
2013,1868516,"NE"
1990,1201700,"NV"
1991,1287953,"NV"
1992,1336419,"NV"
1993,1382024,"NV"
1994,1457028,"NV"
1995,1530108,"NV"
1996,1603163,"NV"
1997,1676809,"NV"
1998,1746898,"NV"
1999,1809253,"NV"
2000,1998257,"NV"
2001,2106074,"NV"
2002,2173491,"NV"
2003,2241154,"NV"
2004,2334771,"NV"
2005,2414807,"NV"
2006,2495529,"NV"
2007,2565382,"NV"
2008,2600167,"NV"
2009,2643085,"NV"
2010,2700551,"NV"
2011,2723322,"NV"
2012,2758931,"NV"
2013,2790136,"NV"
1990,1109100,"NH"
1991,1107678,"NH"
1992,1115087,"NH"
1993,1124229,"NH"
1994,1136820,"NH"
1995,1148253,"NH"
1996,1162481,"NH"
1997,1172709,"NH"
1998,1185048,"NH"
1999,1201134,"NH"
2000,1235786,"NH"
2001,1259181,"NH"
2002,1275056,"NH"
2003,1287687,"NH"
2004,1299500,"NH"
2005,1309940,"NH"
2006,1314895,"NH"
2007,1315828,"NH"
2008,1315809,"NH"
2009,1324575,"NH"
2010,1316470,"NH"
2011,1318194,"NH"
2012,1320718,"NH"
2013,1323459,"NH"
1990,7730300,"NJ"
1991,7773160,"NJ"
1992,7820260,"NJ"
1993,7858809,"NJ"
1994,7903925,"NJ"
1995,7945298,"NJ"
1996,7987933,"NJ"
1997,8052849,"NJ"
1998,8115011,"NJ"
1999,8143412,"NJ"
2000,8414350,"NJ"
2001,8484431,"NJ"
2002,8590300,"NJ"
2003,8638396,"NJ"
2004,8698879,"NJ"
2005,8717925,"NJ"
2006,8724560,"NJ"
2007,8685920,"NJ"
2008,8682661,"NJ"
2009,8707739,"NJ"
2010,8791894,"NJ"
2011,8821155,"NJ"
2012,8864590,"NJ"
2013,8899339,"NJ"
1990,1515100,"NM"
1991,1547422,"NM"
1992,1581830,"NM"
1993,1615613,"NM"
1994,1653521,"NM"
1995,1685401,"NM"
1996,1713407,"NM"
1997,1729751,"NM"
1998,1736931,"NM"
1999,1739844,"NM"
2000,1819046,"NM"
2001,1829146,"NM"
2002,1855059,"NM"
2003,1874614,"NM"
2004,1903289,"NM"
2005,1928384,"NM"
2006,1954599,"NM"
2007,1969915,"NM"
2008,1984356,"NM"
2009,2009671,"NM"
2010,2059179,"NM"
2011,2082224,"NM"
2012,2085538,"NM"
2013,2085287,"NM"
1990,17990700,"NY"
1991,18046856,"NY"
1992,18109491,"NY"
1993,18153083,"NY"
1994,18169051,"NY"
1995,18136081,"NY"
1996,18184774,"NY"
1997,18137226,"NY"
1998,18175301,"NY"
1999,18196601,"NY"
2000,18976457,"NY"
2001,19011378,"NY"
2002,19157532,"NY"
2003,19190115,"NY"
2004,19227088,"NY"
2005,19254630,"NY"
2006,19306183,"NY"
2007,19297729,"NY"
2008,19490297,"NY"
2009,19541453,"NY"
2010,19378102,"NY"
2011,19465197,"NY"
2012,19570261,"NY"
2013,19651127,"NY"
1990,6628900,"NC"
1991,6748560,"NC"
1992,6836333,"NC"
1993,6952424,"NC"
1994,7069836,"NC"
1995,7195138,"NC"
1996,7322870,"NC"
1997,7425183,"NC"
1998,7546493,"NC"
1999,7650789,"NC"
2000,8049313,"NC"
2001,8186268,"NC"
2002,8320146,"NC"
2003,8407248,"NC"
2004,8541221,"NC"
2005,8683242,"NC"
2006,8856505,"NC"
2007,9061032,"NC"
2008,9222414,"NC"
2009,9380884,"NC"
2010,9535483,"NC"
2011,9656401,"NC"
2012,9752073,"NC"
2013,9848060,"NC"
1990,638500,"ND"
1991,633340,"ND"
1992,634031,"ND"
1993,636725,"ND"
1994,637988,"ND"
1995,641367,"ND"
1996,643539,"ND"
1997,640883,"ND"
1998,638244,"ND"
1999,633666,"ND"
2000,642200,"ND"
2001,634448,"ND"
2002,634110,"ND"
2003,633837,"ND"
2004,634366,"ND"
2005,636677,"ND"
2006,635867,"ND"
2007,639715,"ND"
2008,641481,"ND"
2009,646844,"ND"
2010,672591,"ND"
2011,683932,"ND"
2012,699628,"ND"
2013,723393,"ND"
1990,10847100,"OH"
1991,10939657,"OH"
1992,11021419,"OH"
1993,11061253,"OH"
1994,11102198,"OH"
1995,11150506,"OH"
1996,11172782,"OH"
1997,11186331,"OH"
1998,11209493,"OH"
1999,11256654,"OH"
2000,11353140,"OH"
2001,11373541,"OH"
2002,11421267,"OH"
2003,11435798,"OH"
2004,11459011,"OH"
2005,11464042,"OH"
2006,11478006,"OH"
2007,11466917,"OH"
2008,11485910,"OH"
2009,11542645,"OH"
2010,11536504,"OH"
2011,11544951,"OH"
2012,11544225,"OH"
2013,11570808,"OH"
1990,3145700,"OK"
1991,3167766,"OK"
1992,3205234,"OK"
1993,3232859,"OK"
1994,3258069,"OK"
1995,3277687,"OK"
1996,3300902,"OK"
1997,3317091,"OK"
1998,3346713,"OK"
1999,3358044,"OK"
2000,3450654,"OK"
2001,3460097,"OK"
2002,3493714,"OK"
2003,3511532,"OK"
2004,3523553,"OK"
2005,3547884,"OK"
2006,3579212,"OK"
2007,3617316,"OK"
2008,3642361,"OK"
2009,3687050,"OK"
2010,3751351,"OK"
2011,3791508,"OK"
2012,3814820,"OK"
2013,3850568,"OK"
1990,2842400,"OR"
1991,2918615,"OR"
1992,2971567,"OR"
1993,3034761,"OR"
1994,3086188,"OR"
1995,3140585,"OR"
1996,3203735,"OR"
1997,3243487,"OR"
1998,3281974,"OR"
1999,3316154,"OR"
2000,3421399,"OR"
2001,3472867,"OR"
2002,3521515,"OR"
2003,3559596,"OR"
2004,3594586,"OR"
2005,3641056,"OR"
2006,3700758,"OR"
2007,3747455,"OR"
2008,3790060,"OR"
2009,3825657,"OR"
2010,3831074,"OR"
2011,3871859,"OR"
2012,3899353,"OR"
2013,3930065,"OR"
1990,11881700,"PA"
1991,11948646,"PA"
1992,11995405,"PA"
1993,12030079,"PA"
1994,12052367,"PA"
1995,12071842,"PA"
1996,12056112,"PA"
1997,12019661,"PA"
1998,12001451,"PA"
1999,11994016,"PA"
2000,12281054,"PA"
2001,12287150,"PA"
2002,12335091,"PA"
2003,12365455,"PA"
2004,12406292,"PA"
2005,12429616,"PA"
2006,12440621,"PA"
2007,12432792,"PA"
2008,12448279,"PA"
2009,12604767,"PA"
2010,12702379,"PA"
2011,12742886,"PA"
2012,12763536,"PA"
2013,12773801,"PA"
1990,1003500,"RI"
1991,1003671,"RI"
1992,1001344,"RI"
1993,999562,"RI"
1994,996757,"RI"
1995,989794,"RI"
1996,990225,"RI"
1997,987429,"RI"
1998,988480,"RI"
1999,990819,"RI"
2000,1048319,"RI"
2001,1058920,"RI"
2002,1069725,"RI"
2003,1076164,"RI"
2004,1080632,"RI"
2005,1076189,"RI"
2006,1067610,"RI"
2007,1057832,"RI"
2008,1050788,"RI"
2009,1053209,"RI"
2010,1052567,"RI"
2011,1051302,"RI"
2012,1050292,"RI"
2013,1051511,"RI"
1990,3487000,"SC"
1991,3560517,"SC"
1992,3602854,"SC"
1993,3629997,"SC"
1994,3663984,"SC"
1995,3673287,"SC"
1996,3698746,"SC"
1997,3760181,"SC"
1998,3835962,"SC"
1999,3885736,"SC"
2000,4012012,"SC"
2001,4063011,"SC"
2002,4107183,"SC"
2003,4147152,"SC"
2004,4198068,"SC"
2005,4255083,"SC"
2006,4321249,"SC"
2007,4407709,"SC"
2008,4479800,"SC"
2009,4561242,"SC"
2010,4625364,"SC"
2011,4679230,"SC"
2012,4723723,"SC"
2013,4774839,"SC"
1990,696200,"SD"
1991,701631,"SD"
1992,708411,"SD"
1993,716071,"SD"
1994,721164,"SD"
1995,729034,"SD"
1996,732405,"SD"
1997,737973,"SD"
1998,738171,"SD"
1999,733133,"SD"
2000,754844,"SD"
2001,756600,"SD"
2002,761063,"SD"
2003,764309,"SD"
2004,770883,"SD"
2005,775933,"SD"
2006,781919,"SD"
2007,796214,"SD"
2008,804194,"SD"
2009,812383,"SD"
2010,814180,"SD"
2011,824082,"SD"
2012,833354,"SD"
2013,844877,"SD"
1990,4876900,"TN"
1991,4952395,"TN"
1992,5025261,"TN"
1993,5094212,"TN"
1994,5175240,"TN"
1995,5256051,"TN"
1996,5319654,"TN"
1997,5368198,"TN"
1998,5430621,"TN"
1999,5483535,"TN"
2000,5689283,"TN"
2001,5740021,"TN"
2002,5797289,"TN"
2003,5841748,"TN"
2004,5900962,"TN"
2005,5962959,"TN"
2006,6038803,"TN"
2007,6156719,"TN"
2008,6214888,"TN"
2009,6296254,"TN"
2010,6346105,"TN"
2011,6403353,"TN"
2012,6456243,"TN"
2013,6495978,"TN"
1990,16986200,"TX"
1991,17351969,"TX"
1992,17682538,"TX"
1993,18021742,"TX"
1994,18378185,"TX"
1995,18723991,"TX"
1996,19128261,"TX"
1997,19439337,"TX"
1998,19759614,"TX"
1999,20044141,"TX"
2000,20851820,"TX"
2001,21325018,"TX"
2002,21779893,"TX"
2003,22118509,"TX"
2004,22490022,"TX"
2005,22859968,"TX"
2006,23507783,"TX"
2007,23904380,"TX"
2008,24326974,"TX"
2009,24782302,"TX"
2010,25145561,"TX"
2011,25674681,"TX"
2012,26059203,"TX"
2013,26448193,"TX"
1990,1722800,"UT"
1991,1766812,"UT"
1992,1811215,"UT"
1993,1859785,"UT"
1994,1907936,"UT"
1995,1951408,"UT"
1996,2000494,"UT"
1997,2059148,"UT"
1998,2099758,"UT"
1999,2129836,"UT"
2000,2233169,"UT"
2001,2269789,"UT"
2002,2316256,"UT"
2003,2351467,"UT"
2004,2389039,"UT"
2005,2469585,"UT"
2006,2550063,"UT"
2007,2645330,"UT"
2008,2736424,"UT"
2009,2784572,"UT"
2010,2763885,"UT"
2011,2817222,"UT"
2012,2855287,"UT"
2013,2900872,"UT"
1990,562700,"VT"
1991,567738,"VT"
1992,571334,"VT"
1993,575666,"VT"
1994,580209,"VT"
1995,584771,"VT"
1996,588654,"VT"
1997,588978,"VT"
1998,590883,"VT"
1999,593740,"VT"
2000,608827,"VT"
2001,613090,"VT"
2002,616592,"VT"
2003,619107,"VT"
2004,621394,"VT"
2005,623050,"VT"
2006,623908,"VT"
2007,621254,"VT"
2008,621270,"VT"
2009,621760,"VT"
2010,625741,"VT"
2011,626431,"VT"
2012,626011,"VT"
2013,626630,"VT"
1990,6186800,"VA"
1991,6288044,"VA"
1992,6394481,"VA"
1993,6472999,"VA"
1994,6551522,"VA"
1995,6618358,"VA"
1996,6675451,"VA"
1997,6733996,"VA"
1998,6791345,"VA"
1999,6872912,"VA"
2000,7078515,"VA"
2001,7187734,"VA"
2002,7293542,"VA"
2003,7386330,"VA"
2004,7459827,"VA"
2005,7567465,"VA"
2006,7642884,"VA"
2007,7712091,"VA"
2008,7769089,"VA"
2009,7882590,"VA"
2010,8001024,"VA"
2011,8096604,"VA"
2012,8185867,"VA"
2013,8260405,"VA"
1990,4866700,"WA"
1991,5016162,"WA"
1992,5142746,"WA"
1993,5258635,"WA"
1994,5343090,"WA"
1995,5430940,"WA"
1996,5532939,"WA"
1997,5610362,"WA"
1998,5689263,"WA"
1999,5756361,"WA"
2000,5894121,"WA"
2001,5987973,"WA"
2002,6068996,"WA"
2003,6131445,"WA"
2004,6203788,"WA"
2005,6287759,"WA"
2006,6395798,"WA"
2007,6468424,"WA"
2008,6549224,"WA"
2009,6664195,"WA"
2010,6724540,"WA"
2011,6830038,"WA"
2012,6897012,"WA"
2013,6971406,"WA"
1990,1793300,"WV"
1991,1799243,"WV"
1992,1808860,"WV"
1993,1818321,"WV"
1994,1822021,"WV"
1995,1828140,"WV"
1996,1825754,"WV"
1997,1815787,"WV"
1998,1811156,"WV"
1999,1806928,"WV"
2000,1808344,"WV"
2001,1801916,"WV"
2002,1801873,"WV"
2003,1810354,"WV"
2004,1815354,"WV"
2005,1816856,"WV"
2006,1818470,"WV"
2007,1812035,"WV"
2008,1814468,"WV"
2009,1819777,"WV"
2010,1852994,"WV"
2011,1855364,"WV"
2012,1855413,"WV"
2013,1854304,"WV"
1990,4892300,"WI"
1991,4946584,"WI"
1992,4992664,"WI"
1993,5044071,"WI"
1994,5081658,"WI"
1995,5122871,"WI"
1996,5159795,"WI"
1997,5169677,"WI"
1998,5223500,"WI"
1999,5250446,"WI"
2000,5363675,"WI"
2001,5401906,"WI"
2002,5441196,"WI"
2003,5472299,"WI"
2004,5509026,"WI"
2005,5536201,"WI"
2006,5556506,"WI"
2007,5601640,"WI"
2008,5627967,"WI"
2009,5654774,"WI"
2010,5686986,"WI"
2011,5711767,"WI"
2012,5726398,"WI"
2013,5742713,"WI"
1990,453500,"WY"
1991,457940,"WY"
1992,464736,"WY"
1993,469695,"WY"
1994,475981,"WY"
1995,480184,"WY"
1996,481400,"WY"
1997,479743,"WY"
1998,480907,"WY"
1999,479602,"WY"
2000,493782,"WY"
2001,494423,"WY"
2002,498703,"WY"
2003,501242,"WY"
2004,506529,"WY"
2005,509294,"WY"
2006,515004,"WY"
2007,522830,"WY"
2008,532668,"WY"
2009,544270,"WY"
2010,563626,"WY"
2011,568158,"WY"
2012,576412,"WY"
