"crop","coef","mean","serr"
"alfalfa","gdds",-5.682507285854113e-5,5.339080473776491e-6
"alfalfa","kdds",-0.0070604009201574135,0.0007954894090256514
"alfalfa","wreq",-0.5561693004057616,0.007582055730649292
"otherhay","gdds",-8.320141048583868e-5,4.892665677450599e-6
"otherhay","kdds",-0.001083209678635476,0.00014694962044000306
"otherhay","wreq",-0.5771697102091657,0.0076949823024377905
"Sorghum","gdds",0.0008493528901479789,4.170080428134102e-5
"Sorghum","kdds",-0.0034233336179222283,0.00020433559726171742
"Sorghum","wreq",-0.861161753007741,0.05426380863666653
"Wheat","gdds",-0.0006673606581297638,1.2491325517740629e-5
"Wheat","kdds",0.0005050702276932214,3.654110652238655e-5
"Wheat","wreq",-0.13718773250721564,0.019825674368767664
"Wheat.Winter","gdds",-0.00025345980650620447,7.43368174454627e-6
"Wheat.Winter","kdds",-0.0007856662280567817,7.326610676636714e-5
"Wheat.Winter","wreq",-0.14905133586627967,0.01852082704378838
"Soybeans","gdds",0.0003760980550458973,1.1280726766360104e-5
"Soybeans","kdds",-0.003169881719085561,5.6561519365648296e-5
"Soybeans","wreq",-0.5003546686939223,0.013086489333565737
"Barley","gdds",5.822801802351043e-5,3.7041227372690554e-5
"Barley","kdds",-0.0008731733255044433,3.1521695679431466e-5
"Barley","wreq",-0.45001836993043803,0.02991853286788946
"Barley.Winter","gdds",0.00011774250004092299,1.1338352881121555e-5
"Barley.Winter","kdds",-0.0011273346038191518,3.432024500243514e-5
"Barley.Winter","wreq",-0.5877242681844929,0.030717912120114887
"Maize","gdds",0.0002449455662891912,1.3301785142772134e-5
"Maize","kdds",-0.004705173106140308,9.485422397501616e-5
"Maize","wreq",-0.22186535061720047,0.016292759192094615
"Cotton","gdds",0.000817456519989303,3.3257152300294186e-5
"Cotton","kdds",-0.004644980945812054,0.00015169012709631877
"Cotton","wreq",0.3497077459825134,0.0417082359180387
"Rice","gdds",0.00026513534621046503,3.4241404145337496e-5
"Rice","kdds",-0.0017836625206499106,8.359579193097379e-5
"Rice","wreq",0.2776399942072172,0.016829430815642237
