FIPS,County,ST,Neighboring,UrbanPop-2010,RuralPop-2010,MedianHouseholdInc-2008-12,Elevation-ft,TotalArea-sqmi,LandArea-sqmi,WaterArea-sqmi
1001,Autauga,AL,0102101051011010108501047,31650,22921,53773,290,604.39,594.44,9.95
1003,Baldwin,AL,0102501053010970109912033,105205,77060,50706,155,2027.31,1589.78,437.53
1005,Barbour,AL,0104501067010110110901113130611323913259,8844,18613,31889,220,904.52,884.88,19.64
1007,Bibb,AL,011250107301021011170110501065,7252,15663,36824,224,626.17,622.58,3.59
1009,Blount,AL,010430109501055011150107301127,5760,51562,45192,870,650.63,644.78,5.85
1011,Bullock,AL,0110101087011130100501109,5307,5607,34500,455,625.14,622.80,2.34
1013,Butler,AL,011310108501041010390103501099,6026,14921,30752,445,777.88,776.83,1.05
1015,Calhoun,AL,0105501019010290112101115,78617,39955,40093,565,612.29,605.87,6.42
1017,Chambers,AL,010810112301111131491328513145,17399,16816,32181,745,603.11,596.53,6.58
1019,Cherokee,AL,0104901055010150102913115130551323313295,3707,22282,36241,589,599.98,553.70,46.28
1021,Chilton,AL,01007011170103701051010010104701105,5785,37858,40834,580,700.80,692.85,7.95
1023,Choctaw,AL,01119010910102501129281532802328075,0,13859,35123,350,920.86,913.50,7.36
1025,Clarke,AL,01023010910113101099010030109701129,6205,19628,30954,405,1252.57,1238.46,14.11
1027,Clay,AL,0112101029011110112301037,0,13932,34556,745,606.00,603.96,2.04
1029,Cleburne,AL,0111101027011210101501019132331314313045,0,14972,37244,1175,561.01,560.10,.91
1031,Coffee,AL,0104101109010450106101039,26375,23573,44626,195,680.49,678.97,1.52
1033,Colbert,AL,01077010790105928141,30537,23891,40158,536,622.13,592.62,29.51
1035,Conecuh,AL,01099010130103901053,2520,10708,27064,216,852.72,850.16,2.57
1037,Coosa,AL,011170112101027011230105101021,0,11539,37425,660,666.35,650.93,15.42
1039,Covington,AL,0105301035010130104101031010611213112091,11461,26304,35321,260,1043.79,1030.46,13.33
1041,Crenshaw,AL,010130108501101011090103101039,0,13906,37309,594,610.92,608.84,2.08
1043,Cullman,AL,010090107901095011030113301127,21517,58889,39244,802,755.02,734.84,20.18
1045,Dale,AL,010310106701109010050106901061,24679,25572,45247,470,562.70,561.15,1.55
1047,Dallas,AL,011050102101001010850113101091,23821,19999,26178,147,993.80,978.69,15.11
1049,DeKalb,AL,0107101095010550101913083,7018,64091,36853,1040,778.69,777.09,1.59
1051,Elmore,AL,010010102101037011230108701101,36330,42973,55514,290,657.04,618.48,38.56
1053,Escambia,AL,01099010350103901003120331211312091,13982,24337,31075,85,953.14,945.08,8.06
1055,Etowah,AL,010090109501049010190101501115,65286,39144,37660,565,548.63,534.99,13.64
1057,Fayette,AL,0107501093011270112501107,3408,13833,33090,365,629.36,627.66,1.70
1059,Franklin,AL,010330107901133010932805728141,9395,22309,37235,840,646.52,633.82,12.70
