,County,WaterstatsID,UtilityType,UtilityName,AWWAGroup,Category,Region,AWWA_City,State_Name,State,Zip,Country,FIPS,City,PopDens,MedianIncome,Ground,Surface,Purchases,PrimarySource,SplitPercent,ResidentialRateStr,RateStruct,Seasonal,ResCharges1000cfService,ResCharges1000cfVolume,ResCharges1000cfTotal,ResCharges1500cfService,ResCharges1500cfVolume,ResCharges1500cfTotal,FixedChargeRatio,WWCharges1000cfService,WWCharges1000cfVolume,WWCharges1000cfTotal,WWCharges1500cfService,WWCharges1500cfVolume,WWCharges1500cfTotal,CombResCharges1000cfService,CombResCharges1000cfVolume,CombResCharges1000cfTotal,CombResCharges1500cfService,CombResCharges1500cfVolume,CombResCharges1500cfTotal,MGDailyWaterTreatmntProdCapacity,MGDAverageDayWaterProduction,MGDMaxDayWaterProduction,AvgPlantUtilization,MaxPlantUtilization,AnnualMGallonsSoldResNonres,AnnualMGallonsSoldWholesale,AnnualMGallonsSoldTotal,SvcPopRetail,SvcPopWholesale,SvcPopTotal,X.x,ScvPop,DailyPerCapitaConsumptionGallons,ActiveAccountResidential,ActiveAccountNonRes,AccountRatio_NonRes,ActiveAccountWholesale,ActiveAccountTotal,BSFullTimeEmployees,MGYWWTotalGallonsTreated,WaterPerEmployee,BSTotalAssets,BSLongtermDebt,DebtRatio,BSTotalAssetsComb,BSLongTermDebtComb,DebtRatioComb,ISOperatingRevenues,ISBeforeDepreciation,IncomeStatement_Depreciation_Expense,OpExpRev,ISInterestExpense,ISNetIncome,DebtPerMG,OpExpPerMG,NonOperatingRevenue,NonOperatingIncome,ISOperatingRevenuesComb,ISBeforeDepreciationComb,OpExpRevComb,ISInterestExpenseComb,ISNetIncomeComb,AverageCapitalNeeds,IncomeStatement_W_C_WW,WaterIS_Period,WastewaterIS_Period,UtilityType.1,WaterOnly,TempAve,TempVar,PrecipAnnual,PrecipSeasonal,MaxCumDef,NDI,X.y,mean,depth
1,Ada,20022,4,City of Boise,X,U,West,Boise,Idaho,ID,83701-0500,USA,16001,Boise,325.8,55493,0,0,0,NA,,NA,NA,0,0,0,0,0,0,0,#DIV/0!,4.56,25.9,30.46,4.56,38.85,43.41,,,30.46,4.56,38.85,43.41,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,9171,#DIV/0!,0,0,#DIV/0!,"304,337,000.00","20,371,000.00",0.07,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,"25,174,000.00","21,381,000.00",0.85,"474,000.00",1952000,#DIV/0!,,N / R,FY09,4,0,10.27,12.89,320.79,4.13,0.325605895,18.12909083,3,1465.266951,1164.528134
2,Adams,1609,2,Aurora Water,B,U,West,Aurora,Colorado,CO,80012,USA,8001,Aurora,346.6,60822,0,100,0,1,2,IB,2,0,12.06,39.42,51.48,12.06,59.13,71.19,0.2,2.97,20.42,23.39,2.97,30.63,33.6,15.03,59.84,74.87,15.03,89.76,104.79,160,40.41,80,25.26%,50.00%,14749.65,0,14749.65,314000,0,314000,1,314000,128.6942675,72811,3999,0.05492302,0,76810,268,0,55.03600746,"1,700,272,392.00","701,818,920.00",0.41,"2,202,062,415.00","765,875,228.00",0.35,84493197,"33,252,590.00",10390860,0.39,"6,527,282.00","62,555,533.00","47,582.07","2,254.47",0,1,"131,056,160.00","67,078,926.00",0.51,"6,634,481.00",83449478,"70,687,288.80",Water only,CY09,CY09,2,1,9.88,13.02,374,5.25,0.94650584,5.977142948,5,1866.219805,1494.320894
3,Alachua,1019,2,Gainesville Regional Utilities,B,U,South,Gainesville,Florida,FL,32614,USA,12001,Gainesville,245,36833,100,0,0,2,2,IB,2,0,7.3,12.34,19.64,7.3,22.18,29.48,0.33,6,37.92,43.92,6,56.89,62.89,13.3,50.26,63.56,13.3,79.07,92.37,54,24.957,31.801,46.22%,58.89%,7708,0,7708,124491,0,124491,0,124491,169.6332122,61851,7645,0.123603499,0,69496,71,5620,108.5633803,"179,640,510.00","108,415,016.00",0.6,"394,617,821.00","230,178,472.00",0.58,25712256,"12,590,285.00",6543205,0.49,0,"5,179,080.00","14,065.26","1,633.40",1,1,"57,688,361.00","25,264,781.00",0.44,"561,085.00",10288549,"5,900,862.80",Water only,CY09,FY09,2,1,20.78,6.63,"1,318.75",2.77,0.027817561,0.455845935,13,3027.0625,2198.633167
4,Alameda,1337,2,East Bay Municipal Utility District,A,U,West,Oakland,California,CA,94623,USA,6001,Oakland,2040.3,52384,0,100,0,1,2,DB,3,0,12.03,21.44,33.47,12.03,33.84,45.87,0.36,11.15,5.9,17.05,11.15,5.9,17.05,23.18,27.34,50.52,23.18,39.74,62.92,181,181,262,100.00%,144.75%,61962.4,0,61962.4,1300000,0,1300000,0,1300000,130.5846154,356173,25555,0.071748841,0,381728,1783,24090,34.75176669,"3,709,906,000.00","2,210,846,000.00",0.6,"4,374,434,000.00","2,571,183,000.00",0.59,291631000,"227,493,000.00",68518000,0.78,0,"7,262,000.00","35,680.44","3,671.47",0,1,"360,723,000.00","277,633,000.00",0.77,"13,509,000.00",5851000,"177,800,000.00",Water only,FY09,FY09,2,1,14.47,6.12,468.05,56.78,46.59137036,0.809378725,15,1523.785408,858.5948757
5,Alameda,1283,1,Alameda County Water District,B,U,West,Fremont,California,CA,94538,USA,6001,Fremont,2040.3,100150,34,41,25,3,,U,1,0,5.81,27.54,33.35,5.81,41.31,47.12,0.14,0,0,0,0,0,0,5.81,27.54,33.35,5.81,41.31,47.12,75,50,75,66.67%,100.00%,15621.62,0,15621.62,333648,0,333648,1,333648,128.2757844,73012,6775,0.092792966,0,79787,214,0,72.9982243,"467,620,400.00","50,844,200.00",0.11,"467,620,400.00","50,844,200.00",0.11,56777700,"46,199,600.00",10795800,0.81,"2,846,600.00","6,792,500.00","3,254.73","2,957.41",1,1,"56,777,700.00","46,199,600.00",0.81,"2,846,600.00",6792500,"22,618,200.00",Water only,FY09,N / R,1,1,14.47,6.12,468.05,56.78,46.59137036,0.809378725,15,1523.785408,858.5948757
6,Albemarle,2168,2,Albemarle County Service Authority,C,U,South,Charlottesville,Virginia,VA,22911,USA,51003,Waynesboro,127.4,40551,0,0,100,4,,IB,2,0,6.15,44.62,50.77,6.15,89.24,95.39,0.07,0,53.93,53.93,0,80.9,80.9,6.15,98.55,104.7,6.15,170.14,176.29,0,0,0,0.00%,0.00%,1545.7,0,1545.7,62518,0,62518,1,62518,67.73720401,15662,1312,0.083769634,0,16974,38,0,40.67631579,"61,594,162.00",0,0,"108,336,426.00","364,100.00",0,10257885,"8,786,314.00",1296812,0.86,0,"3,428,498.00",0,"5,684.36",0,1,"18,964,507.00","15,805,202.00",0.83,"21,010.00",6772006,"3,997,090.00",Water only,FY09,FY09,2,1,13.33,11.08,"1,123.40",1.35,0.003824258,10.37407846,18,1641.375,1084.430981
7,Allegheny,2087,1,Fox Chapel Authority,C,U,Northeast,Pittsburgh (FCA),Pennsylvania,PA,15238,USA,42003,Pittsburgh,1692.3,37388,0,0,100,4,,DB,3,0,4.54,53.33,57.87,4.54,80,84.54,0.06,0,0,0,0,0,0,4.54,53.33,57.87,4.54,80,84.54,0,1.82,0,0.00%,0.00%,467.193,87.729,554.922,18000,1300,19300,1,19300,78.77379516,5178,243,0.046929316,2,5423,13,0,42.68630769,"27,444,428.00","11,024,794.00",0.4,"27,444,428.00","11,024,794.00",0.4,4301948,"2,594,875.00",545448,0.6,"537,679.00","630,543.00","19,867.29","4,676.11",1,0,"4,301,948.00","2,594,875.00",0.6,"537,679.00",630543,"750,000.00",Water only,FY09,N / R,1,1,10.63,11.8,987.81,1.52,19.92541983,241.9507224,28,1287.677419,459.8801384
8,Allen,1408,2,Lima Department of Utilities,C,U,Midwest,Lima,Ohio,OH,45801,USA,39003,Lima,266.6,35398,0,100,0,1,2,DB,3,0,7.86,13.82,21.68,7.86,20.73,28.59,0.38,17.87,17.71,35.58,17.87,30.36,48.23,25.73,31.53,57.26,25.73,51.09,76.82,30,13.5,18,45.00%,60.00%,4015,2357.9,6372.9,72000,3000,75000,1,75000,232.8,22130,1929,0.087166742,1,24060,48.79999924,4441.29,130.5922152,"34,744,643.00","3,341,854.00",0.1,"77,969,109.00","13,684,719.00",0.18,9365747,"8,116,866.00",1133394,0.87,"287,673.00","184,502.00",524.39,"1,273.65",1,0,"17,862,416.00","13,597,543.00",0.76,"1,048,863.00",989326,"10,230,266.00",Water only,FY08,FY08,2,1,10.39,12.64,927.77,1.63,0.535210085,79.85310308,29,1285.464217,656.343153
9,Anderson,30021,2,"Oak Ridge, City of",C,U,South,Oak Ridge,Tennessee,TN,37831-0001,USA,47001,Oak Ridge,211.4,54862,0,100,0,1,2,DB,3,0,11.5,24.93,36.43,11.5,41.34,52.84,0.28,13.5,28.22,41.72,13.5,48.44,61.94,25,53.15,78.15,25,89.78,114.78,28,10,13,35.71%,46.43%,1074,2174,3248,27500,0,27500,1,0,323.5865504,11293,1625,0.143894448,1,12919,0,1973.7,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,0,0,"1,770,000.00",,N / R,N / R,2,0,13.45,10.63,"1,399.02",1.49,0.005511492,13.55470289,36,798.1153846,494.0790067
10,Anne Arundel,30006,2,City of Annapolis,C,U,South,Annapolis,Maryland,MD,21401,USA,24003,Annapolis,1246.8,64400,100,0,0,2,2,DB,3,0,4.2,11.34,15.54,4.2,18.63,22.83,0.23,6.07,17.41,23.48,6.07,26.94,33.01,10.27,28.75,39.02,10.27,45.57,55.84,10,3.91,6.3,39.10%,63.00%,1186,0,1186,38900,0,38900,0,38900,83.52995035,10474,1939,0.185125072,0,12413,22,1790,53.90909091,"18,884,860.00","3,254,453.00",0.17,"44,424,758.00","7,477,401.00",0.17,3250584,"4,736,853.00",554074,1.46,"212,320.00","-1,816,385.00","2,744.06","3,993.97",1,0,"8,198,446.00","9,122,853.00",1.11,"377,027.00",-293936,"10,872,600.00",Water only,CY09,CY09,2,1,9.9,8.85,967.6,1.31,0.711322932,4.596156945,39,1712.142857,1078.942619
